name,description,price,thumb,images,slug,sku,sizes,prices
Coral Flame Kilim Rug,,0,https://bucket.zammit.shop/active-storage/59z4ox9lpwge8w2mlsa69n9cveic,https://bucket.zammit.shop/active-storage/e2epp1ghrj76cohupi0mlctf4hmn,-Coral-Flame-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Crowned Mustard Kilim Rug,,2340,https://bucket.zammit.shop/active-storage/0bb28v18dwe731s1e3ug6vqcuj0q,https://bucket.zammit.shop/active-storage/d70jn2fy2u8qyjqmomglzzrx5xnl,-Crowned-Mustard-Kilim-Rug,,80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,2340|3120|3900|4680|5880|6720
Grey Shaggy Kilim Runner,,1800,https://bucket.zammit.shop/active-storage/6hk5xunno1fg8wke04bvoo5foey7,,-Grey-Shaggy-kilim-Runner,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,1800|2700|3600|4500|5400|6300|7200
Notebook In Cafe Kilim Rug,,0,https://bucket.zammit.shop/active-storage/a5p3jjhflupbjw4z5usy6zwn2ewu,https://bucket.zammit.shop/active-storage/5x01p57fa9orl0vdsrwider2t04b,-Notebook-In-Cafe-Kilim-Rug-,,90 * 60 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Traditional Buca Kilim Rug,,1575,https://bucket.zammit.shop/active-storage/bo574q04km8vuu3rruhxhoafxjnr,https://bucket.zammit.shop/active-storage/pajif24x8yp2dp9m255ppxifptau|https://bucket.zammit.shop/active-storage/ouji43y4zk0v74bphy8ogjdqbh62|https://bucket.zammit.shop/active-storage/ukrxy5bdviwbfjordbug147t95n9,-Traditional-Buca-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M,1575|2250|3240|4500|6630|7500|9000
African Ivory Kilim Rug,,0,https://bucket.zammit.shop/active-storage/qxrrroe0nwdecqtn2cxv2bz9nh0c,https://bucket.zammit.shop/active-storage/5g9e4wqkhanm9x8ucu7bsuzqwebw|https://bucket.zammit.shop/active-storage/zfhfwutxzxilupy2ik21b8p8t00i,African-Ivory-Kilim-Rug,,70 x 1.5 M|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Alexandrian Azure Kilim Rug,,0,https://bucket.zammit.shop/active-storage/g04aznteaxau6wyuor7p5zikwqpn,https://bucket.zammit.shop/active-storage/3e68zw0w7elrz4uh9vru7733jznf|https://bucket.zammit.shop/active-storage/xt9fvf9jyastmphpene5d3es98ho,Alexandrian-Azure-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0|0|0
Amara Kilim Rug,,0,https://bucket.zammit.shop/active-storage/v1dis404m6d107gmxr72ynw1vnpb,https://bucket.zammit.shop/active-storage/je68hgbtiftzze55e92exs284od3,Amara-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0
Autumn Bath Mat,,699,https://bucket.zammit.shop/active-storage/m2jl4v14xlu0msnv3xzx7fhrxdpe,https://bucket.zammit.shop/active-storage/xx0iyvg01lw0qtt7qyir9s004wb8,Autumn-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Baby Garden Bath Mat,,699,https://bucket.zammit.shop/active-storage/rwxaa1kv73zimafuwre4ij5lkxcg,https://bucket.zammit.shop/active-storage/mgkt1c7q19639rukksd7d6ch5brd,Baby-Garden-Bath-Mat,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Bahya Corner Kilim Rug,,0,https://bucket.zammit.shop/active-storage/es0opx5wvrjeyk21d6ri9dfj00yv,https://bucket.zammit.shop/active-storage/7oohv5qgl9vqnxadzjbcbntl1yyo,Bahya-Corner-Kilim-Rug,,90 * 60 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Biege Barez Kilim Rug,,3600,https://bucket.zammit.shop/active-storage/i8iv4iuitsw5cj729o468bulq6cf,https://bucket.zammit.shop/active-storage/3ns5atej5tvz1etj4cd8hvw9mwwo|https://bucket.zammit.shop/active-storage/cp1nbk2r7bxyiqve7f78kq38zyrq|https://bucket.zammit.shop/active-storage/8yeyiwcn08zb1c6nvc0bgttcmfkj,Biege-Barez-Kilim-Rug,,80 * 400 Cm|80 * 500 Cm|80 * 600 Cm|80 * 700 Cm|80 * 800 Cm,3600|4500|5400|6300|7200
Blue Coco Cushion,,675,https://bucket.zammit.shop/active-storage/nhc453qavcxl6mqgmj8g2ybo4g9j,https://bucket.zammit.shop/active-storage/f95u3lx7o8phkmdg3qc5zal3r8f5|https://bucket.zammit.shop/active-storage/996ikjd7iaks7t3tm7mlgqchmmap,Blue-Coco-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,675|712|750|787|1012|1050
